-8.98390651431644E-4,
-0.0030521062228054834,
0.0050548395148129945,
-0.0035756310679963626,
-0.0032748760018812004,
0.004844348395653831,
0.00665711388741694,
0.018789373592465245,
0.008898909563165209,
0.003911513344852496,
-0.005301003480417332,
-0.0022661222357581,
0.004794434817271498,
0.002972165706266735,
0.0030748221600562257,
-0.002969719422544016,
0.00670245444070081,
-4.374279125308833E-4,
0.022384710711977653,
0.013038454489297337,
-0.013572197650672834,
-3.8797046905447307E-4,
0.004125053663192062,
0.004008486671127872,
5.093088539166897E-5,
0.004412700372524211,
-2.9464499109763635E-4,
-0.006053598481834435,
0.010953794811680736,
0.0021735927701733706,
-0.0048895442894001055,
0.009451848579758797,
-0.0023625358326128812,
-0.0027474468135831338,
0.0027758358585627434,
-0.0016477784201019972,
-0.003983985075343931,
7.97581050581804E-4,
-6.995541490928756E-4,
-0.0021720093143234903,
-0.004681464424836596,
-0.0032571826671981084,
0.0020654510072699965,
-7.412093337536504E-4,
-0.0010805812636757893,
6.384269856425603E-5,
0.0016709819860406105,
-0.004027401375991693,
-0.0018013228324830594,
0.0016234891618822633,
-0.005566927220903294,
9.966397750476737E-4,
-3.724628023183852E-5,
2.690858819067521E-4,
-3.751772318664394E-4,
3.0814536361468796E-4,
4.2533433378437514E-5,
2.3908988606450066E-6,
7.057371844029795E-7,
6.228755160205071E-8,
0.0018929637537028945,
0.003748702048184286,
5.683790957247432E-5,
-5.637392441225546E-4,
0.003826467253591393,
-0.003279555920379945,
-0.005094419091879021,
0.002633331807625282,
-0.016148342720450976,
4.0057726250442905E-4,
-0.014220142581614451,
-0.018190214742719465,
0.011640535317046882,
0.008496257574071601,
-0.01122378077364657,
-0.0022655281380999657,
-0.005733724761611057,
0.0050880088237869065,
0.006405606442773078,
-0.00808804653254886,
-0.01599193479332687,
-0.004461359932462471,
-0.0015857424890702617,
0.0014836608968967378,
0.0025441238845037633,
-0.01110056309370422,
1.774137999802517E-4,
0.01306293744002195,
0.018926906516512142,
-0.008959410365289952,
-0.017293537020338097,
0.0036636788138215345,
-0.0011555784508179637,
0.0029968033329597042,
-0.0010958411725297582,
0.004542661690061264,
0.007619766219440117,
-0.003175465798402769,
0.02620544767000533,
-0.0022572993439255932,
-0.01204271201289429,
-0.0031645595168214363,
0.0013597836856231707,
0.0021423003411948456,
-1.47927577189488E-4,
9.175031732331365E-4,
-0.0017491751944057076,
0.0015578913865364214,
0.01695446833019616,
0.009558524355325858,
-0.007053891400717821,
0.0018736503121017153,
-1.5093358828130094E-4,
4.857084598300744E-5,
1.2064151389681484E-4,
4.297125555029461E-4,
-9.64534707259064E-5,
-7.274103826225872E-6,
8.794563436386522E-7,
2.2719925717073617E-6,
-2.0538839501108507E-4,
-0.0052276125419755855,
-0.004945383193351217,
-0.0032762687514591047,
-0.00509579236397323,
0.0029210951231763,
0.007292717933560275,
4.178979909480827E-4,
0.03318744064274558,
0.03944527841274333,
-0.0040802427079458135,
0.004182303227213735,
0.017490942812107075,
0.0011204474478147361,
-0.0015127565023663814,
-8.93357390436312E-4,
0.009340176558738977,
-0.008089995205752633,
0.0035808556934716776,
0.04860175601069772,
-0.0041299829169937,
-0.0044956397889907695,
0.005098127034188986,
0.001377021185794584,
0.002200954080804351,
0.009022766177642569,
-0.01349227842475573,
-0.012171568988244195,
0.005067997639421004,
0.024517660245240335,
-0.011022294357733595,
0.008058375466912954,
-0.003400701932683739,
-0.006869368381817368,
0.001161494799065551,
-0.007534533301541443,
-5.8260378398208574E-5,
9.997292003740014E-4,
4.75864161064831E-4,
-8.519021236324257E-5,
-0.008457453158953502,
6.473791519709918E-4,
-8.257330711317493E-4,
-0.0018426396899706983,
-0.003887001637651443,
6.211047447764891E-4,
0.004019887979441748,
-0.004869538032338535,
-0.0072679786252851375,
0.004685310647873047,
-0.004888013708097103,
0.0030770276950691363,
3.7636216856185153E-4,
-1.270154165910804E-4,
-0.002164366447912282,
-3.066199801318862E-4,
2.0711885648113054E-4,
-1.5596260631810118E-5,
-1.5227285383958435E-6,
1.7247636054678531E-6,
0.0013010372069611432,
-0.002747100557152426,
0.002840738524080201,
0.010370722302404305,
0.0030806888114246226,
-9.740346888399954E-4,
-0.00675943045963898,
0.03415614917527708,
0.05295500346234042,
-0.02673570632314106,
-0.08947664636458336,
-0.03836595348343377,
-0.0035461651311102533,
0.006105784640074996,
-4.5251488456852823E-4,
-0.00438999434786466,
-0.00522179244058121,
0.020827974927814394,
0.07229141876569509,
0.016102171986151544,
-0.12187193720272874,
-0.006692795832727267,
-0.0014845901387846487,
0.0033754951206984513,
0.005489460550654868,
-0.0034358440175455704,
-1.0413974803510581E-4,
0.001540213313925612,
0.07340866651300315,
0.04757795847558406,
-0.097863704264749,
0.012790032577354735,
-0.002298177405497705,
0.006260526879267617,
0.0038660630309881846,
0.002398867854836861,
-0.001053306618140094,
-0.0023639060618007375,
0.05464737720522188,
0.03633616831809985,
-0.0663139350292288,
-0.002248712590293103,
0.0020264859563779805,
0.001026360705183387,
0.0025438196300840875,
-0.010482837478556934,
7.372611877108887E-4,
0.002599832762312935,
0.04152201415979483,
0.039137248471617564,
-0.044203857866754404,
0.0012685060624768065,
-1.3756555170353992E-4,
0.001743564299430889,
0.002385754458352761,
-0.004677430924681097,
7.263917961230985E-5,
2.748885548631306E-5,
5.837111896202132E-7,
2.4726836099145434E-7,
0.0015983049685138187,
0.004140162061538824,
-0.003241189616033346,
-0.008056422617156271,
-0.007121312148117457,
-1.9416006303112554E-4,
-0.0010692333929442654,
0.0019491023284886333,
-0.07384485728373061,
1.2096764127289155,
-0.06409435365039612,
-0.007183151342468188,
0.009456278127407035,
0.006604002855680647,
-0.008074913806937794,
-0.0059962065349944485,
-0.011713936860705019,
-0.017114576300875112,
-0.11255000979349368,
1.0448536399698896,
-0.08474145407213604,
-0.021645361104610572,
-0.007930209600832162,
-8.501920456951026E-4,
7.272453545984427E-4,
0.004244366276907734,
2.075601669878236E-5,
-0.013946213820661916,
-0.10137732634506208,
0.6998439343815512,
-0.07258560659860558,
-0.013100053704158423,
-0.0019146652014880932,
-0.012757792196378553,
-0.001910236217492066,
0.002823759017514327,
-0.006017942800962241,
-0.014769811394213728,
-0.059602077709692516,
0.38130570019693094,
-0.06088292963391129,
-0.01640338565453561,
0.0018240054005534503,
3.47964912227693E-4,
-0.001478963658060003,
0.002162621744798799,
-0.0035317043294364288,
-0.014486628998949421,
-0.04345257291313087,
0.22908269503156353,
-0.04529934949427414,
-0.008051854633619415,
-7.394706049300893E-4,
2.4149409156639428E-4,
0.003340627625842367,
-0.002166440591633349,
-5.279123580471148E-4,
2.4494578837828797E-5,
1.5206783341649267E-6,
1.6485761878706058E-6,
-0.007118079395571615,
-0.009863812203163947,
1.4416841315818244E-4,
0.005340148434498178,
0.0063698886527085545,
-0.0019766015818918348,
-0.017386411646593384,
-0.04140696988118235,
-0.03940986897439626,
-0.04197741159023344,
0.056199569761993695,
0.0489370623443873,
0.011375450306421366,
-0.0012180383649401695,
-6.922601233964305E-4,
0.003585792474978173,
-0.0047578648035527865,
-0.020487167176188013,
-0.10347717355740493,
0.0033420522389478458,
0.10392271919428338,
0.007613652296837225,
1.2502897401431247E-4,
0.017079482836538352,
0.011628849027789507,
-0.006222863934286919,
-0.0062182674730755835,
-0.01051767783924951,
-0.11856491848982555,
0.07386908178690735,
0.08528761834469997,
0.007924365192423396,
-0.005863014436514727,
-0.0031678244677731055,
0.008553877245283587,
0.005575366905607428,
-0.0074788820696985205,
-0.001898227561099131,
-0.09448092151980353,
0.053975303648296905,
0.04866500712921066,
-0.00864826682943,
-0.0031382483385402936,
-0.00570960891145708,
0.004359999425442334,
-0.0018240145441281504,
0.001391501257013695,
-0.0020395144230164037,
-0.05882189296797943,
0.0592596966946031,
0.020119817232401905,
-0.0031350076846058178,
-4.013502376749243E-4,
8.239413330028881E-4,
7.813688205807058E-4,
-8.932339317598264E-4,
-2.0056074842262505E-4,
6.852789354021008E-6,
1.4830086830718933E-6,
1.5106584448244667E-6,
-0.0032392868746627247,
0.0017900386106020896,
0.007047988510900362,
-0.003470326878720684,
-0.0023266091508708526,
-0.003811389893658766,
0.009528500424151357,
-0.01884141826349176,
0.035988345413468945,
0.02118708008463998,
0.0036523786176155607,
-0.005830818925151721,
-0.006075591312691677,
-0.006509972019346255,
-0.006817955473050177,
-0.010092538193904353,
-0.008397994337811378,
-0.004268399492520251,
0.030418586600427885,
0.027728830664961034,
0.0070591858357949636,
-0.016311464078393248,
0.012765681139874946,
0.010485207755526207,
-0.0016790538970458428,
0.002090371108306635,
0.014657040327813394,
0.0018288366108600842,
-1.3219962868877243E-4,
0.041055837656838436,
-0.009925735015817054,
0.007251970824209086,
-0.002916248228881563,
0.0024304528675753254,
0.001313305062915369,
0.0032019087804462613,
0.0010723472627960449,
-0.0022021841035578475,
-4.512700083545481E-4,
0.003952368302480178,
-0.009245827947293709,
-0.0024388775487430006,
0.00629068200851563,
0.0033912552605255795,
0.001503908685796261,
0.0034944042003169458,
-0.0026392899745859995,
-0.003765997118096006,
-0.013157471108664541,
0.05332476298813756,
-0.011352653661889532,
2.591970555138463E-5,
-0.0014567319438891049,
-6.78249475208694E-5,
0.001442033603455305,
-6.027364741031729E-4,
-4.2159711136642054E-4,
-1.3444331571004054E-5,
1.5625870345134153E-6,
3.3277411870232688E-6,
-7.767096316991105E-4,
-0.008759837783741046,
-3.609948123730368E-4,
-0.004327375979236632,
0.0026700004784579456,
0.004437048559143451,
0.0011867668431331368,
0.0010533942924710587,
0.0020050304787641512,
0.03139251704822407,
-0.036280215543145256,
0.010354386185043321,
0.01940214240681668,
0.0025634773940631586,
-0.004847078706416296,
0.0024098553284107077,
0.008818242987633264,
-0.012302550801687559,
0.014221571734161222,
-0.03813492084610795,
0.024770280799955337,
0.0072486973810748775,
0.008867862094118401,
0.0012091132071382514,
0.002989128470562396,
-0.008386772720903692,
-0.014689012171049627,
-0.00865459213554069,
-0.007413267903338525,
0.02844588290451594,
0.0497846838918114,
0.004600470958226613,
-0.004956096635617459,
0.0016440242083718614,
0.008754762121777582,
-4.6012402069831547E-4,
-0.004783829926632306,
-0.006439350988480592,
-0.03377414123385483,
0.03071860515169773,
0.032766008353440484,
-0.002980981924529081,
-1.958268935773969E-4,
0.0016613871228589679,
4.650196697485988E-4,
-0.0010558262726632953,
0.0011527461552872584,
7.735028199974789E-4,
-0.014450272758401689,
0.04117100791742461,
-0.009627901534545406,
-4.898112577555859E-4,
